"age","code","date","cum.deaths","daily.deaths"
"75-79","TX",2020-09-04,1866,12
"80+","TX",2020-09-04,5124,31
"0-0","TX",2020-09-05,3,0
"1-9","TX",2020-09-05,2,0
"10-19","TX",2020-09-05,11,0
"20-29","TX",2020-09-05,120,0
"30-39","TX",2020-09-05,311,1
"40-49","TX",2020-09-05,824,4
"50-59","TX",2020-09-05,1750,9
"60-64","TX",2020-09-05,1428,7
"65-69","TX",2020-09-05,1746,8
"70-74","TX",2020-09-05,1973,9
"75-79","TX",2020-09-05,1874,8
"80+","TX",2020-09-05,5146,22
"0-0","TX",2020-09-06,3,0
"1-9","TX",2020-09-06,2,0
"10-19","TX",2020-09-06,11,0
"20-29","TX",2020-09-06,120,0
"30-39","TX",2020-09-06,312,1
"40-49","TX",2020-09-06,829,5
"50-59","TX",2020-09-06,1761,11
"60-64","TX",2020-09-06,1437,9
"65-69","TX",2020-09-06,1756,10
"70-74","TX",2020-09-06,1984,11
"75-79","TX",2020-09-06,1884,10
"80+","TX",2020-09-06,5173,27
"0-0","TX",2020-09-07,3,0
"1-9","TX",2020-09-07,2,0
"10-19","TX",2020-09-07,11,0
"20-29","TX",2020-09-07,120,0
"30-39","TX",2020-09-07,313,1
"40-49","TX",2020-09-07,833,4
"50-59","TX",2020-09-07,1770,9
"60-64","TX",2020-09-07,1444,7
"65-69","TX",2020-09-07,1764,8
"70-74","TX",2020-09-07,1993,9
"75-79","TX",2020-09-07,1892,8
"80+","TX",2020-09-07,5195,22
"0-0","TX",2020-09-08,3,0
"1-9","TX",2020-09-08,2,0
"10-19","TX",2020-09-08,11,0
"20-29","TX",2020-09-08,120,0
"30-39","TX",2020-09-08,314,1
"40-49","TX",2020-09-08,837,4
"50-59","TX",2020-09-08,1779,9
"60-64","TX",2020-09-08,1451,7
"65-69","TX",2020-09-08,1773,9
"70-74","TX",2020-09-08,2002,9
"75-79","TX",2020-09-08,1901,9
"80+","TX",2020-09-08,5218,23
"0-0","TX",2020-09-09,3,0
"1-9","TX",2020-09-09,2,0
"10-19","TX",2020-09-09,11,0
"20-29","TX",2020-09-09,120,0
