"age","code","date","daily.deaths","cum.deaths"
"70-79","ID",2020-07-18,0,25
"60-69","ID",2020-07-18,0,15
"50-59","ID",2020-07-18,0,4
"40-49","ID",2020-07-18,1,2
"30-39","ID",2020-07-18,0,0
"18-29","ID",2020-07-18,0,0
"0-17","ID",2020-07-18,0,0
"80+","ID",2020-07-19,0,73
"70-79","ID",2020-07-19,0,25
"60-69","ID",2020-07-19,0,15
"50-59","ID",2020-07-19,0,4
"40-49","ID",2020-07-19,0,2
"30-39","ID",2020-07-19,0,0
"18-29","ID",2020-07-19,0,0
"0-17","ID",2020-07-19,0,0
"80+","ID",2020-07-20,0,73
"70-79","ID",2020-07-20,0,25
"60-69","ID",2020-07-20,0,15
"50-59","ID",2020-07-20,0,4
"40-49","ID",2020-07-20,0,2
"30-39","ID",2020-07-20,0,0
"18-29","ID",2020-07-20,0,0
"0-17","ID",2020-07-20,0,0
"80+","ID",2020-07-21,5,78
"70-79","ID",2020-07-21,2,27
"60-69","ID",2020-07-21,0,15
"50-59","ID",2020-07-21,0,4
"40-49","ID",2020-07-21,0,2
"30-39","ID",2020-07-21,0,0
"18-29","ID",2020-07-21,0,0
"0-17","ID",2020-07-21,0,0
"80+","ID",2020-07-22,0,78
"70-79","ID",2020-07-22,0,27
"60-69","ID",2020-07-22,0,15
"50-59","ID",2020-07-22,0,4
"40-49","ID",2020-07-22,0,2
"30-39","ID",2020-07-22,0,0
"18-29","ID",2020-07-22,0,0
"0-17","ID",2020-07-22,0,0
"80+","ID",2020-07-23,5,83
"70-79","ID",2020-07-23,2,29
"60-69","ID",2020-07-23,1,16
"50-59","ID",2020-07-23,1,5
"40-49","ID",2020-07-23,0,2
"30-39","ID",2020-07-23,0,0
"18-29","ID",2020-07-23,0,0
"0-17","ID",2020-07-23,0,0
"80+","ID",2020-07-24,2,85
"70-79","ID",2020-07-24,1,30
"60-69","ID",2020-07-24,0,16
"50-59","ID",2020-07-24,0,5
"40-49","ID",2020-07-24,0,2
"30-39","ID",2020-07-24,0,0
"18-29","ID",2020-07-24,0,0
"0-17","ID",2020-07-24,0,0
"80+","ID",2020-07-25,6,91
"70-79","ID",2020-07-25,0,30
"60-69","ID",2020-07-25,2,18
"50-59","ID",2020-07-25,0,5
"40-49","ID",2020-07-25,0,2
"30-39","ID",2020-07-25,0,0
"18-29","ID",2020-07-25,0,0
"0-17","ID",2020-07-25,0,0
"80+","ID",2020-07-26,0,91
"70-79","ID",2020-07-26,0,30
"60-69","ID",2020-07-26,0,18
"50-59","ID",2020-07-26,0,5
"40-49","ID",2020-07-26,0,2
"30-39","ID",2020-07-26,0,0
"18-29","ID",2020-07-26,0,0
"0-17","ID",2020-07-26,0,0
"80+","ID",2020-07-27,5,96
"70-79","ID",2020-07-27,1,31
"60-69","ID",2020-07-27,0,18
"50-59","ID",2020-07-27,0,5
"40-49","ID",2020-07-27,0,2
"30-39","ID",2020-07-27,0,0
"18-29","ID",2020-07-27,0,0
"0-17","ID",2020-07-27,0,0
"80+","ID",2020-07-28,3,99
"70-79","ID",2020-07-28,3,34
"60-69","ID",2020-07-28,0,18
"50-59","ID",2020-07-28,0,5
"40-49","ID",2020-07-28,1,3
"30-39","ID",2020-07-28,1,1
"18-29","ID",2020-07-28,0,0
"0-17","ID",2020-07-28,0,0
"80+","ID",2020-07-29,3,102
"80+","ID",2020-07-30,3,105
"80+","ID",2020-07-31,3,108
"80+","ID",2020-08-01,3,111
"80+","ID",2020-08-02,3,114
"80+","ID",2020-08-03,3,117
"80+","ID",2020-08-04,3,120
"80+","ID",2020-08-05,3,123
"80+","ID",2020-08-06,3,126
"80+","ID",2020-08-07,3,129
"80+","ID",2020-08-08,3,132
"80+","ID",2020-08-09,3,135
"80+","ID",2020-08-10,3,138
"80+","ID",2020-08-11,4,141
"80+","ID",2020-08-12,4,144
"70-79","ID",2020-07-29,1,35
"70-79","ID",2020-07-30,1,36
"70-79","ID",2020-07-31,1,37
"70-79","ID",2020-08-01,1,38
"70-79","ID",2020-08-02,1,39
"70-79","ID",2020-08-03,1,40
"70-79","ID",2020-08-04,1,41
"70-79","ID",2020-08-05,1,42
"70-79","ID",2020-08-06,1,43
"70-79","ID",2020-08-07,2,44
"70-79","ID",2020-08-08,2,45
"70-79","ID",2020-08-09,2,46
"70-79","ID",2020-08-10,2,47
"70-79","ID",2020-08-11,2,48
"70-79","ID",2020-08-12,2,49
"60-69","ID",2020-07-29,0,18
"60-69","ID",2020-07-30,1,18
"60-69","ID",2020-07-31,1,18
"60-69","ID",2020-08-01,1,18
"60-69","ID",2020-08-02,1,18
"60-69","ID",2020-08-03,1,18
"60-69","ID",2020-08-04,1,18
"60-69","ID",2020-08-05,1,18
"60-69","ID",2020-08-06,1,18
"60-69","ID",2020-08-07,1,18
"60-69","ID",2020-08-08,1,18
"60-69","ID",2020-08-09,1,18
"60-69","ID",2020-08-10,1,18
"60-69","ID",2020-08-11,1,18
"60-69","ID",2020-08-12,1,18
"50-59","ID",2020-07-29,0,5
"50-59","ID",2020-07-30,0,5
"50-59","ID",2020-07-31,0,5
"50-59","ID",2020-08-01,0,5
