"date","code","age","cum.deaths","daily.deaths"
2020-06-02,"TN","50-59",31,2
2020-06-02,"TN","60-69",80,2
2020-06-02,"TN","70-79",103,2
2020-06-02,"TN","80+",134,7
2020-06-03,"TN","0-9",1,0
2020-06-03,"TN","10-19",1,0
2020-06-03,"TN","20-29",2,0
2020-06-03,"TN","30-39",5,0
2020-06-03,"TN","40-49",21,1
2020-06-03,"TN","50-59",32,1
2020-06-03,"TN","60-69",80,0
2020-06-03,"TN","70-79",107,4
2020-06-03,"TN","80+",135,1
2020-06-04,"TN","0-9",1,0
2020-06-04,"TN","10-19",1,0
2020-06-04,"TN","20-29",2,0
2020-06-04,"TN","30-39",6,1
2020-06-04,"TN","40-49",21,0
2020-06-04,"TN","50-59",32,0
2020-06-04,"TN","60-69",82,2
2020-06-04,"TN","70-79",114,7
2020-06-04,"TN","80+",138,3
2020-06-05,"TN","0-9",1,0
2020-06-05,"TN","10-19",1,0
2020-06-05,"TN","20-29",2,0
2020-06-05,"TN","30-39",8,2
2020-06-05,"TN","40-49",21,0
2020-06-05,"TN","50-59",33,1
2020-06-05,"TN","60-69",83,1
2020-06-05,"TN","70-79",117,3
2020-06-05,"TN","80+",138,0
2020-06-06,"TN","0-9",1,0
2020-06-06,"TN","10-19",1,0
2020-06-06,"TN","20-29",2,0
2020-06-06,"TN","30-39",9,1
2020-06-06,"TN","40-49",21,0
2020-06-06,"TN","50-59",34,1
2020-06-06,"TN","60-69",84,1
2020-06-06,"TN","70-79",119,2
2020-06-06,"TN","80+",141,3
2020-06-07,"TN","0-9",1,0
2020-06-07,"TN","10-19",1,0
2020-06-07,"TN","20-29",2,0
2020-06-07,"TN","30-39",9,0
2020-06-07,"TN","40-49",21,0
2020-06-07,"TN","50-59",34,0
2020-06-07,"TN","60-69",84,0
2020-06-07,"TN","70-79",120,1
2020-06-07,"TN","80+",141,0
2020-06-08,"TN","0-9",1,0
2020-06-08,"TN","10-19",1,0
2020-06-08,"TN","20-29",2,0
2020-06-08,"TN","30-39",9,0
2020-06-08,"TN","40-49",22,1
2020-06-08,"TN","50-59",34,0
2020-06-08,"TN","60-69",84,0
2020-06-08,"TN","70-79",122,2
2020-06-08,"TN","80+",142,1
2020-06-09,"TN","0-9",1,0
2020-06-09,"TN","10-19",1,0
2020-06-09,"TN","20-29",2,0
2020-06-09,"TN","30-39",9,0
2020-06-09,"TN","40-49",22,0
2020-06-09,"TN","50-59",35,1
2020-06-09,"TN","60-69",86,2
2020-06-09,"TN","70-79",127,5
2020-06-09,"TN","80+",147,5
2020-06-10,"TN","0-9",1,0
2020-06-10,"TN","10-19",1,0
2020-06-10,"TN","20-29",2,0
2020-06-10,"TN","30-39",9,0
2020-06-10,"TN","40-49",22,0
2020-06-10,"TN","50-59",35,0
2020-06-10,"TN","60-69",86,0
2020-06-10,"TN","70-79",127,0
2020-06-10,"TN","80+",148,1
2020-06-11,"TN","0-9",1,0
2020-06-11,"TN","10-19",1,0
2020-06-11,"TN","20-29",2,0
2020-06-11,"TN","30-39",10,1
2020-06-11,"TN","40-49",22,0
2020-06-11,"TN","50-59",35,0
2020-06-11,"TN","60-69",87,1
2020-06-11,"TN","70-79",129,2
2020-06-11,"TN","80+",150,2
2020-06-12,"TN","0-9",1,0
2020-06-12,"TN","10-19",1,0
2020-06-12,"TN","20-29",3,1
2020-06-12,"TN","30-39",10,0
2020-06-12,"TN","40-49",22,0
2020-06-12,"TN","50-59",39,4
2020-06-12,"TN","60-69",94,7
2020-06-12,"TN","70-79",138,9
2020-06-12,"TN","80+",155,5
2020-06-13,"TN","0-9",1,0
2020-06-13,"TN","10-19",1,0
2020-06-13,"TN","20-29",3,0
2020-06-13,"TN","30-39",10,0
2020-06-13,"TN","40-49",22,0
2020-06-13,"TN","50-59",39,0
2020-06-13,"TN","60-69",94,0
2020-06-13,"TN","70-79",140,2
2020-06-13,"TN","80+",157,2
2020-06-14,"TN","0-9",1,0
2020-06-14,"TN","10-19",1,0
2020-06-14,"TN","20-29",3,0
2020-06-14,"TN","30-39",10,0
2020-06-14,"TN","40-49",23,1
2020-06-14,"TN","50-59",39,0
2020-06-14,"TN","60-69",94,0
2020-06-14,"TN","70-79",141,1
2020-06-14,"TN","80+",158,1
2020-06-15,"TN","0-9",1,0
2020-06-15,"TN","10-19",1,0
2020-06-15,"TN","20-29",3,0
2020-06-15,"TN","30-39",10,0
2020-06-15,"TN","40-49",24,1
2020-06-15,"TN","50-59",40,1
2020-06-15,"TN","60-69",96,2
2020-06-15,"TN","70-79",144,3
2020-06-15,"TN","80+",159,1
2020-06-16,"TN","0-9",1,0
2020-06-16,"TN","10-19",1,0
2020-06-16,"TN","20-29",3,0
2020-06-16,"TN","30-39",10,0
2020-06-16,"TN","40-49",24,0
2020-06-16,"TN","50-59",43,3
2020-06-16,"TN","60-69",96,0
2020-06-16,"TN","70-79",147,3
2020-06-16,"TN","80+",162,3
2020-06-17,"TN","0-9",2,1
2020-06-17,"TN","10-19",1,0
2020-06-17,"TN","20-29",4,1
2020-06-17,"TN","30-39",10,0
2020-06-17,"TN","40-49",24,0
2020-06-17,"TN","50-59",44,1
2020-06-17,"TN","60-69",96,0
2020-06-17,"TN","70-79",149,2
2020-06-17,"TN","80+",162,0
2020-06-18,"TN","0-9",2,0
2020-06-18,"TN","10-19",1,0
2020-06-18,"TN","20-29",4,0
2020-06-18,"TN","30-39",10,0
2020-06-18,"TN","40-49",25,1
2020-06-18,"TN","50-59",44,0
2020-06-18,"TN","60-69",101,5
2020-06-18,"TN","70-79",151,2
2020-06-18,"TN","80+",166,4
2020-06-19,"TN","0-9",2,0
2020-06-19,"TN","10-19",1,0
2020-06-19,"TN","20-29",4,0
2020-06-19,"TN","30-39",10,0
2020-06-19,"TN","40-49",25,0
2020-06-19,"TN","50-59",44,0
2020-06-19,"TN","60-69",103,2
2020-06-19,"TN","70-79",154,3
2020-06-19,"TN","80+",166,0
2020-06-20,"TN","0-9",2,0
2020-06-20,"TN","10-19",1,0
2020-06-20,"TN","20-29",4,0
2020-06-20,"TN","30-39",10,0
2020-06-20,"TN","40-49",25,0
2020-06-20,"TN","50-59",45,1
2020-06-20,"TN","60-69",104,1
2020-06-20,"TN","70-79",157,3
2020-06-20,"TN","80+",171,5
2020-06-21,"TN","0-9",2,0
2020-06-21,"TN","10-19",1,0
2020-06-21,"TN","20-29",4,0
2020-06-21,"TN","30-39",10,0
2020-06-21,"TN","40-49",25,0
2020-06-21,"TN","50-59",45,0
2020-06-21,"TN","60-69",105,1
2020-06-21,"TN","70-79",157,0
2020-06-21,"TN","80+",172,1
2020-06-22,"TN","0-9",2,0
2020-06-22,"TN","10-19",1,0
2020-06-22,"TN","20-29",4,0
2020-06-22,"TN","30-39",10,0
2020-06-22,"TN","40-49",25,0
2020-06-22,"TN","50-59",47,2
2020-06-22,"TN","60-69",107,2
2020-06-22,"TN","70-79",157,0
2020-06-22,"TN","80+",172,0
2020-06-23,"TN","0-9",2,0
2020-06-23,"TN","10-19",1,0
2020-06-23,"TN","20-29",4,0
2020-06-23,"TN","30-39",10,0
2020-06-23,"TN","40-49",26,1
2020-06-23,"TN","50-59",48,1
2020-06-23,"TN","60-69",108,1
2020-06-23,"TN","70-79",162,5
2020-06-23,"TN","80+",175,3
2020-06-24,"TN","0-9",3,1
2020-06-24,"TN","10-19",1,0
2020-06-24,"TN","20-29",4,0
2020-06-24,"TN","30-39",11,1
2020-06-24,"TN","40-49",26,0
2020-06-24,"TN","50-59",48,0
2020-06-24,"TN","60-69",109,1
2020-06-24,"TN","70-79",167,5
2020-06-24,"TN","80+",180,5
2020-06-25,"TN","0-9",3,0
2020-06-25,"TN","10-19",1,0
2020-06-25,"TN","20-29",4,0
2020-06-25,"TN","30-39",11,0
2020-06-25,"TN","40-49",26,0
2020-06-25,"TN","50-59",48,0
2020-06-25,"TN","60-69",110,1
2020-06-25,"TN","70-79",173,6
2020-06-25,"TN","80+",184,4
2020-06-26,"TN","0-9",3,0
2020-06-26,"TN","10-19",1,0
2020-06-26,"TN","20-29",4,0
2020-06-26,"TN","30-39",11,0
2020-06-26,"TN","40-49",26,0
2020-06-26,"TN","50-59",48,0
2020-06-26,"TN","60-69",111,1
2020-06-26,"TN","70-79",175,2
2020-06-26,"TN","80+",191,7
2020-06-27,"TN","0-9",3,0
2020-06-27,"TN","10-19",1,0
