"date","state","code","age","cum.deaths","daily.deaths"
2020-05-09,"Michigan","MI","65-74",684,NA
2020-05-09,"Michigan","MI","75-84",785,NA
2020-05-09,"Michigan","MI","85+",828,NA
2020-05-09,"New Jersey","NJ","0-1",0,NA
2020-05-09,"New Jersey","NJ","1-4",0,NA
2020-05-09,"New Jersey","NJ","15-24",0,NA
2020-05-09,"New Jersey","NJ","25-34",54,NA
2020-05-09,"New Jersey","NJ","35-44",117,NA
2020-05-09,"New Jersey","NJ","45-54",344,NA
2020-05-09,"New Jersey","NJ","5-14",0,NA
2020-05-09,"New Jersey","NJ","55-64",853,NA
2020-05-09,"New Jersey","NJ","65-74",1247,NA
2020-05-09,"New Jersey","NJ","75-84",1881,NA
2020-05-09,"New Jersey","NJ","85+",2502,NA
2020-05-09,"New York","NY","0-1",0,NA
2020-05-09,"New York","NY","1-4",0,NA
2020-05-09,"New York","NY","15-24",0,NA
2020-05-09,"New York","NY","25-34",33,NA
2020-05-09,"New York","NY","35-44",102,NA
2020-05-09,"New York","NY","45-54",291,NA
2020-05-09,"New York","NY","5-14",0,NA
2020-05-09,"New York","NY","55-64",763,NA
2020-05-09,"New York","NY","65-74",1288,NA
2020-05-09,"New York","NY","75-84",1761,NA
2020-05-09,"New York","NY","85+",2406,NA
2020-05-09,"Ohio","OH","0-1",0,NA
2020-05-09,"Ohio","OH","1-4",0,NA
2020-05-09,"Ohio","OH","15-24",0,NA
2020-05-09,"Ohio","OH","25-34",0,NA
2020-05-09,"Ohio","OH","35-44",0,NA
2020-05-09,"Ohio","OH","45-54",0,NA
2020-05-09,"Ohio","OH","5-14",0,NA
2020-05-09,"Ohio","OH","55-64",57,NA
2020-05-09,"Ohio","OH","65-74",126,NA
2020-05-09,"Ohio","OH","75-84",198,NA
2020-05-09,"Ohio","OH","85+",206,NA
2020-05-09,"Pennsylvania","PA","0-1",0,NA
2020-05-09,"Pennsylvania","PA","1-4",0,NA
2020-05-09,"Pennsylvania","PA","15-24",0,NA
2020-05-09,"Pennsylvania","PA","25-34",0,NA
2020-05-09,"Pennsylvania","PA","35-44",0,NA
2020-05-09,"Pennsylvania","PA","45-54",63,NA
2020-05-09,"Pennsylvania","PA","5-14",0,NA
2020-05-09,"Pennsylvania","PA","55-64",202,NA
2020-05-09,"Pennsylvania","PA","65-74",399,NA
2020-05-09,"Pennsylvania","PA","75-84",597,NA
2020-05-09,"Pennsylvania","PA","85+",852,NA
2020-05-09,"Texas","TX","0-1",0,NA
2020-05-09,"Texas","TX","1-4",0,NA
2020-05-09,"Texas","TX","15-24",0,NA
2020-05-09,"Texas","TX","25-34",0,NA
2020-05-09,"Texas","TX","35-44",0,NA
2020-05-09,"Texas","TX","45-54",49,NA
2020-05-09,"Texas","TX","5-14",0,NA
2020-05-09,"Texas","TX","55-64",100,NA
2020-05-09,"Texas","TX","65-74",177,NA
2020-05-09,"Texas","TX","75-84",190,NA
2020-05-09,"Texas","TX","85+",191,NA
2020-05-09,"Washington","WA","0-1",0,NA
2020-05-09,"Washington","WA","1-4",0,NA
2020-05-09,"Washington","WA","15-24",0,NA
2020-05-09,"Washington","WA","25-34",0,NA
2020-05-09,"Washington","WA","35-44",0,NA
2020-05-09,"Washington","WA","45-54",24,NA
2020-05-09,"Washington","WA","5-14",0,NA
2020-05-09,"Washington","WA","55-64",60,NA
2020-05-09,"Washington","WA","65-74",131,NA
2020-05-09,"Washington","WA","75-84",196,NA
2020-05-09,"Washington","WA","85+",266,NA
