"age","cum.deaths","daily.deaths","code","date"
"75+",8241,20,"NYC",2020-06-03
"0-17",11,0,"NYC",2020-06-04
"18-44",663,4,"NYC",2020-06-04
"45-64",3803,11,"NYC",2020-06-04
"65-74",4248,18,"NYC",2020-06-04
"75+",8267,26,"NYC",2020-06-04
"0-17",11,0,"NYC",2020-06-05
"18-44",668,5,"NYC",2020-06-05
"45-64",3820,17,"NYC",2020-06-05
"65-74",4259,11,"NYC",2020-06-05
"75+",8296,29,"NYC",2020-06-05
"0-17",11,0,"NYC",2020-06-06
"18-44",669,1,"NYC",2020-06-06
"45-64",3837,17,"NYC",2020-06-06
"65-74",4272,13,"NYC",2020-06-06
"75+",8323,27,"NYC",2020-06-06
"0-17",11,0,"NYC",2020-06-07
"18-44",671,2,"NYC",2020-06-07
"45-64",3839,2,"NYC",2020-06-07
"65-74",4280,8,"NYC",2020-06-07
"75+",8344,21,"NYC",2020-06-07
"0-17",11,0,"NYC",2020-06-08
"18-44",674,3,"NYC",2020-06-08
"45-64",3842,3,"NYC",2020-06-08
"65-74",4285,5,"NYC",2020-06-08
"75+",8356,12,"NYC",2020-06-08
"0-17",11,0,"NYC",2020-06-09
"18-44",676,2,"NYC",2020-06-09
"45-64",3850,8,"NYC",2020-06-09
"65-74",4293,8,"NYC",2020-06-09
"75+",8372,16,"NYC",2020-06-09
"0-17",11,0,"NYC",2020-06-10
"18-44",678,2,"NYC",2020-06-10
"45-64",3858,8,"NYC",2020-06-10
"65-74",4310,17,"NYC",2020-06-10
"75+",8397,25,"NYC",2020-06-10
"0-17",11,0,"NYC",2020-06-11
"18-44",679,1,"NYC",2020-06-11
"45-64",3864,6,"NYC",2020-06-11
"65-74",4322,12,"NYC",2020-06-11
"75+",8423,26,"NYC",2020-06-11
"0-17",11,0,"NYC",2020-06-12
"18-44",682,3,"NYC",2020-06-12
"45-64",3873,9,"NYC",2020-06-12
"65-74",4336,14,"NYC",2020-06-12
"75+",8448,25,"NYC",2020-06-12
"0-17",11,0,"NYC",2020-06-13
"18-44",682,0,"NYC",2020-06-13
"45-64",3883,10,"NYC",2020-06-13
"65-74",4345,9,"NYC",2020-06-13
"75+",8466,18,"NYC",2020-06-13
"0-17",11,0,"NYC",2020-06-14
"18-44",687,5,"NYC",2020-06-14
"45-64",3886,3,"NYC",2020-06-14
"65-74",4350,5,"NYC",2020-06-14
"75+",8480,14,"NYC",2020-06-14
"0-17",11,0,"NYC",2020-06-15
"18-44",688,1,"NYC",2020-06-15
"45-64",3892,6,"NYC",2020-06-15
"65-74",4354,4,"NYC",2020-06-15
"75+",8487,7,"NYC",2020-06-15
"0-17",11,0,"NYC",2020-06-16
"18-44",689,1,"NYC",2020-06-16
"45-64",3900,8,"NYC",2020-06-16
"65-74",4360,6,"NYC",2020-06-16
"75+",8494,7,"NYC",2020-06-16
"0-17",11,0,"NYC",2020-06-17
"18-44",690,1,"NYC",2020-06-17
"45-64",3911,11,"NYC",2020-06-17
"65-74",4367,7,"NYC",2020-06-17
"75+",8507,13,"NYC",2020-06-17
"0-17",11,0,"NYC",2020-06-18
"18-44",690,0,"NYC",2020-06-18
"45-64",3915,4,"NYC",2020-06-18
"65-74",4370,3,"NYC",2020-06-18
"75+",8520,13,"NYC",2020-06-18
"0-17",11,0,"NYC",2020-06-19
"18-44",692,2,"NYC",2020-06-19
"45-64",3918,3,"NYC",2020-06-19
"65-74",4380,10,"NYC",2020-06-19
"75+",8544,24,"NYC",2020-06-19
"0-17",11,0,"NYC",2020-06-20
"18-44",692,0,"NYC",2020-06-20
"45-64",3925,7,"NYC",2020-06-20
"65-74",4382,2,"NYC",2020-06-20
"75+",8552,8,"NYC",2020-06-20
"0-17",11,0,"NYC",2020-06-21
