"age","cum.deaths","daily.deaths","code","date"
"70-79",618,3,"IN",2020-07-08
"80+",1314,9,"IN",2020-07-08
"0-19",2,0,"IN",2020-07-09
"20-29",7,0,"IN",2020-07-09
"30-39",18,0,"IN",2020-07-09
"40-49",46,0,"IN",2020-07-09
"50-59",130,0,"IN",2020-07-09
"60-69",404,0,"IN",2020-07-09
"70-79",618,0,"IN",2020-07-09
"80+",1314,0,"IN",2020-07-09
"0-19",2,0,"IN",2020-07-10
"20-29",7,0,"IN",2020-07-10
"30-39",18,0,"IN",2020-07-10
"40-49",46,0,"IN",2020-07-10
"50-59",130,0,"IN",2020-07-10
"60-69",404,0,"IN",2020-07-10
"70-79",618,0,"IN",2020-07-10
"80+",1314,0,"IN",2020-07-10
"0-19",2,0,"IN",2020-07-11
"20-29",8,1,"IN",2020-07-11
"30-39",18,0,"IN",2020-07-11
"40-49",46,0,"IN",2020-07-11
"50-59",131,1,"IN",2020-07-11
"60-69",407,3,"IN",2020-07-11
"70-79",625,7,"IN",2020-07-11
"80+",1326,12,"IN",2020-07-11
"0-19",2,0,"IN",2020-07-12
"20-29",8,0,"IN",2020-07-12
"30-39",18,0,"IN",2020-07-12
"40-49",46,0,"IN",2020-07-12
"50-59",131,0,"IN",2020-07-12
"60-69",407,0,"IN",2020-07-12
"70-79",627,2,"IN",2020-07-12
"80+",1328,2,"IN",2020-07-12
"0-19",2,0,"IN",2020-07-13
"20-29",8,0,"IN",2020-07-13
"30-39",18,0,"IN",2020-07-13
"40-49",46,0,"IN",2020-07-13
"50-59",131,0,"IN",2020-07-13
"60-69",407,0,"IN",2020-07-13
"70-79",627,0,"IN",2020-07-13
"80+",1328,0,"IN",2020-07-13
"0-19",2,0,"IN",2020-07-14
"20-29",8,0,"IN",2020-07-14
"30-39",18,0,"IN",2020-07-14
"40-49",46,0,"IN",2020-07-14
"50-59",132,1,"IN",2020-07-14
"60-69",408,1,"IN",2020-07-14
"70-79",633,6,"IN",2020-07-14
"80+",1335,7,"IN",2020-07-14
"0-19",2,0,"IN",2020-07-15
"20-29",8,0,"IN",2020-07-15
"30-39",18,0,"IN",2020-07-15
"40-49",46,0,"IN",2020-07-15
"50-59",133,1,"IN",2020-07-15
"60-69",410,2,"IN",2020-07-15
"70-79",636,3,"IN",2020-07-15
"80+",1339,4,"IN",2020-07-15
"0-19",2,0,"IN",2020-07-16
"20-29",8,0,"IN",2020-07-16
"30-39",18,0,"IN",2020-07-16
"40-49",46,0,"IN",2020-07-16
"50-59",133,0,"IN",2020-07-16
"60-69",410,0,"IN",2020-07-16
"70-79",636,0,"IN",2020-07-16
"80+",1339,0,"IN",2020-07-16
"0-19",2,0,"IN",2020-07-17
"20-29",8,0,"IN",2020-07-17
"30-39",18,0,"IN",2020-07-17
"40-49",46,0,"IN",2020-07-17
"50-59",133,0,"IN",2020-07-17
"60-69",416,6,"IN",2020-07-17
"70-79",643,7,"IN",2020-07-17
"80+",1344,5,"IN",2020-07-17
"0-19",2,0,"IN",2020-07-18
"20-29",8,0,"IN",2020-07-18
"30-39",18,0,"IN",2020-07-18
"40-49",46,0,"IN",2020-07-18
"50-59",133,0,"IN",2020-07-18
"60-69",416,0,"IN",2020-07-18
"70-79",643,0,"IN",2020-07-18
"80+",1344,0,"IN",2020-07-18
"0-19",2,0,"IN",2020-07-19
"20-29",8,0,"IN",2020-07-19
