"","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_federal","region_census","region_census_sub","consortium","region_census_sub_revised","region_same_as_census","governor_party"
"177","AL",2020-04-19,4888,157,176,4,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"178","AL",2020-04-20,5079,163,191,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"179","AL",2020-04-21,5317,183,238,20,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"180","AL",2020-04-22,5593,196,276,13,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"181","AL",2020-04-23,5832,202,239,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"182","AL",2020-04-24,6026,209,194,7,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"183","AL",2020-04-25,6026,209,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"184","AL",2020-04-26,6421,219,395,10,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"185","AL",2020-04-27,6539,228,118,9,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"186","AL",2020-04-28,6750,242,211,14,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"187","AL",2020-04-29,6912,256,162,14,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"188","AL",2020-04-30,7088,272,176,16,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"189","AL",2020-05-01,7294,289,206,17,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"190","AL",2020-05-02,7611,289,317,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"191","AL",2020-05-03,7888,290,277,1,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"192","AL",2020-05-04,8112,298,224,8,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"193","AL",2020-05-05,8437,315,325,17,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"194","AL",2020-05-06,8691,343,254,28,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"195","AL",2020-05-07,9046,369,355,26,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"197","AR",2020-02-01,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"198","AR",2020-02-02,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"199","AR",2020-02-03,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"200","AR",2020-02-04,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"201","AR",2020-02-05,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"202","AR",2020-02-06,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"203","AR",2020-02-07,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"204","AR",2020-02-08,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"205","AR",2020-02-09,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"206","AR",2020-02-10,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"207","AR",2020-02-11,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"208","AR",2020-02-12,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"209","AR",2020-02-13,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"210","AR",2020-02-14,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"211","AR",2020-02-15,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"212","AR",2020-02-16,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"213","AR",2020-02-17,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"214","AR",2020-02-18,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"215","AR",2020-02-19,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"216","AR",2020-02-20,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"217","AR",2020-02-21,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"218","AR",2020-02-22,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"219","AR",2020-02-23,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"220","AR",2020-02-24,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"221","AR",2020-02-25,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"222","AR",2020-02-26,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"223","AR",2020-02-27,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"224","AR",2020-02-28,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"225","AR",2020-02-29,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"226","AR",2020-03-01,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"227","AR",2020-03-02,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"228","AR",2020-03-03,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"229","AR",2020-03-04,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"230","AR",2020-03-05,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"231","AR",2020-03-06,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"232","AR",2020-03-07,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"233","AR",2020-03-08,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"234","AR",2020-03-09,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"235","AR",2020-03-10,0,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"236","AR",2020-03-11,1,0,1,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"237","AR",2020-03-12,6,0,5,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"238","AR",2020-03-13,6,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"239","AR",2020-03-14,12,0,6,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"240","AR",2020-03-15,16,0,4,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"241","AR",2020-03-16,22,0,6,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"242","AR",2020-03-17,22,0,0,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"243","AR",2020-03-18,33,0,11,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"244","AR",2020-03-19,62,0,29,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"245","AR",2020-03-20,96,0,34,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"246","AR",2020-03-21,122,0,26,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"247","AR",2020-03-22,165,0,43,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"248","AR",2020-03-23,192,0,27,0,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
"249","AR",2020-03-24,219,2,27,2,"Arkansas",57,2978204,6,"South","West South Central","","West South Central",1,"R"
