Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2021,01/04/2020,01/02/2021,Delaware,All Sexes,All Ages,756,10038,675,300,21,1152,
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,All Ages,356,5111,330,152,,541,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,Under 1 year,0,27,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,0-17 years,,52,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,1-4 years,,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,15-24 years,,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,18-29 years,,125,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,25-34 years,,172,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,30-49 years,12,421,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,35-44 years,,185,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,45-54 years,14,330,16,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,50-64 years,55,902,59,30,0,84,
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,55-64 years,47,700,48,25,0,70,
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,65-74 years,90,1142,89,41,,139,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,75-84 years,104,1293,93,40,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Male,85 years and over,92,1176,76,37,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,All Ages,400,4927,345,148,14,611,
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,Under 1 year,0,26,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,0-17 years,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,15-24 years,,28,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,18-29 years,,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,25-34 years,,43,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,30-49 years,10,192,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,35-44 years,,103,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,45-54 years,18,180,16,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,50-64 years,49,602,51,25,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,55-64 years,35,486,36,19,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,65-74 years,56,895,73,24,,109,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,75-84 years,111,1252,100,46,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Female,85 years and over,172,1902,110,47,,240,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Delaware,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,All Sexes,All Ages,887,6985,1220,832,12,1287,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,All Ages,521,3861,693,487,,734,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,Under 1 year,,57,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,0-17 years,,98,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,1-4 years,0,14,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,5-14 years,0,12,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,15-24 years,0,99,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,18-29 years,,157,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,25-34 years,,180,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,30-49 years,52,479,62,47,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,35-44 years,26,241,29,24,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,45-54 years,58,353,68,55,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,50-64 years,138,1024,185,128,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,55-64 years,103,802,144,94,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,65-74 years,148,927,202,141,,211,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,75-84 years,106,661,143,99,0,150,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Male,85 years and over,72,515,90,68,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,All Ages,366,3124,527,345,,553,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,Under 1 year,0,36,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,0-17 years,0,64,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,1-4 years,0,14,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,5-14 years,0,14,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,15-24 years,,21,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,18-29 years,,48,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,25-34 years,,61,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,30-49 years,17,211,27,17,0,27,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,35-44 years,,97,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,45-54 years,23,205,33,23,0,33,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,50-64 years,76,646,97,69,0,104,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,55-64 years,63,521,80,56,0,87,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,65-74 years,94,639,132,86,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,75-84 years,74,613,112,71,0,115,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Female,85 years and over,102,903,153,99,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,District of Columbia,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,All Sexes,All Ages,19726,234762,23626,11127,479,32673,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,All Ages,11154,125732,13465,6542,246,18308,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,Under 1 year,0,644,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,0-17 years,,1211,19,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,1-4 years,0,138,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,5-14 years,,218,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,15-24 years,21,1621,32,,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,18-29 years,46,2926,75,23,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,25-34 years,72,3371,114,40,,152,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Male,30-49 years,478,9338,519,264,29,761,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,35-44 years,217,4462,234,114,10,347,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,45-54 years,547,7627,597,305,30,867,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,50-64 years,1815,22608,2117,1059,60,2931,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,55-64 years,1484,18002,1736,879,44,2385,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,65-74 years,2661,26897,3258,1609,54,4360,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,75-84 years,3385,32339,4042,2008,58,5473,
01/06/2021,01/04/2020,01/02/2021,Florida,Male,85 years and over,2766,30413,3435,1578,34,4654,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,All Ages,8572,109015,10161,4585,233,14365,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,Under 1 year,0,531,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,0-17 years,,859,19,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,1-4 years,0,101,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,5-14 years,,132,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,15-24 years,13,577,15,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,18-29 years,23,1094,48,11,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,25-34 years,43,1481,85,29,,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Female,30-49 years,252,5163,357,146,31,494,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,35-44 years,115,2480,161,60,13,229,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,45-54 years,270,4567,373,150,21,513,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,50-64 years,947,13781,1322,527,42,1782,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,55-64 years,783,11028,1096,441,33,1470,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,65-74 years,1625,18545,2032,930,52,2777,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,75-84 years,2462,27149,2877,1379,51,4008,
01/06/2021,01/04/2020,01/02/2021,Florida,Female,85 years and over,3257,42424,3506,1590,49,5214,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,All Ages,0,15,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,35-44 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Florida,Unknown,85 years and over,0,14,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,All Sexes,All Ages,8701,95438,8430,4232,196,13091,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,All Ages,4591,49292,4572,2328,96,6928,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,Under 1 year,,334,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,0-17 years,,649,,0,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,1-4 years,,71,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,5-14 years,,131,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,15-24 years,13,839,14,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,18-29 years,21,1436,30,,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,25-34 years,41,1531,36,11,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,30-49 years,259,4399,225,114,13,382,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,35-44 years,106,2045,99,44,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,45-54 years,310,3781,282,158,,443,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,50-64 years,914,10843,896,446,21,1385,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,55-64 years,726,8595,721,350,16,1113,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,65-74 years,1277,11782,1254,676,25,1879,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,75-84 years,1314,11773,1347,708,17,1969,
01/06/2021,01/04/2020,01/02/2021,Georgia,Male,85 years and over,799,8410,812,378,13,1246,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,All Ages,4110,46146,3858,1904,100,6163,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,Under 1 year,0,286,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,0-17 years,,486,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,1-4 years,0,64,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,5-14 years,,85,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,15-24 years,11,286,12,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,18-29 years,23,501,21,11,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,25-34 years,39,641,34,16,,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,30-49 years,192,2654,194,80,13,319,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,35-44 years,80,1213,85,31,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,45-54 years,192,2591,210,97,10,315,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,50-64 years,620,7299,654,311,29,992,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,55-64 years,513,5774,529,253,24,813,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,65-74 years,927,9074,863,443,24,1371,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,75-84 years,1105,11546,1050,546,21,1630,
01/06/2021,01/04/2020,01/02/2021,Georgia,Female,85 years and over,1242,14586,1072,513,10,1810,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Georgia,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Hawaii,All Sexes,All Ages,336,11739,782,159,26,985,
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,All Ages,215,6325,460,105,16,586,
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,Under 1 year,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,0-17 years,0,58,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,5-14 years,0,12,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,15-24 years,,66,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,18-29 years,,102,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,25-34 years,,117,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,30-49 years,,466,16,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,35-44 years,,227,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,45-54 years,17,416,17,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Hawaii,Male,50-64 years,49,1150,61,23,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
